Institution,Explicit AI Lit Definition,Primary Orientation,Target Audience,Instructional Frameworks,Student Learning Outcomes,Instructor Pedagogical Goals,Acceptable vs Prohibited Uses,Citation & Attribution Rules,Syllabus Guidelines,Quote Fidelity,Explicit Definition Text,Implicit Characterization Text
Auburn,Yes,Comprehensive / Balanced Hybrid,General Campus,Bloom's Taxonomy,"Apply effective prompt engineering techniques (assigning roles, defining audiences, specifying tone, and indicating format) to improve AI output quality; Fact-check and verify the accuracy and reliability of GenAI content before incorporating it into academic work; Properly cite and acknowledge generative AI tools in academic writing according to specific style guidelines (e.g., APA, AMA); Utilize AI-driven discovery tools (Dimensions Research GPT, ResearchRabbit, Semantic Scholar) for literature reviews, citation analysis, and managing reading materials; Distinguish between AI, Machine Learning, and Generative AI concepts and technologies",Complete professional development training such as the 'Teaching with AI' course; Adopt transparent syllabus policies regarding generative AI tool use using institutional options; Utilize Bloom's Taxonomy to evaluate and adapt course activities and learning outcomes to emphasize distinctive human skills or integrate GenAI tools as learning supplements; Ensure all AI technologies used in courses undergo official institutional vetting processes,"AI use must adhere to institutional, state, federal, and international laws, guided by principles of ethics, transparency, accountability, data privacy, security, fairness, and human-centered oversight. AI tools are intended to enhance productivity and performance, but must not be used improperly, unethically, unlawfully, or insecurely. Enterprise-vetted software (such as Microsoft Copilot and Adobe Firefly) should be prioritized.","Users must cite generative AI tools whenever paraphrasing, quoting, or incorporating AI-generated content (text, image, data, etc.) into their work. Functional uses (such as editing prose or translating) should be acknowledged in a note or the text. For APA Style, unique chat URLs should be used following author-date-title-source format. AMA style guidelines suggest acknowledging AI tools in the Acknowledgements or Methods section.",The Biggio Center suggests adopting one of four syllabus statements depending on the instructor's desired level of generative AI tool use in the course. Students are expected to check course syllabi to verify whether GenAI use is permitted.,1.0,"AI Literacy involves understanding the functions of AI tools, ethical issues related to AI, how to use AI","AI literacy is characterized as a multi-dimensional capability that balances practical tool utilization (prompt engineering, AI-assisted research discovery) with critical responsibility (fact-checking, copyright compliance, ethical oversight, and academic integrity)."
Baylor,No,Tool-Use / Practical Productivity,General Campus,,,,,,,1.0,,"AI is implicitly characterized as a technological and research capability (e.g., Large Language Models and data mining scripting) that integrates with digital library collections and assists with academic research."
Chapman,Yes,Critical & Ethical Evaluation,Students,"Leo Lo AI Literacy Framework, Ethan Mollick's 'Against Brain Damage' Cognitive Learning Strategy, Alberto Cairo's Data and Visual Literacy Framework ('How Charts Lie')","Understand foundational concepts of AI and large language models, including transformer architecture and probability-based decision-making.; Develop ethical and useful information behaviors when integrating AI tools into academic research.; Contextualize information produced by generative AI and critically evaluate potential errors or misinformation.; Maintain active human thinking and writing habits to avoid short-circuiting mental effort and deeper learning.; Evaluate the environmental impacts (energy consumption, carbon emissions, water use) of AI models and practice computational efficiency (e.g., using campus-supported PantherAI, prompt reuse).; Apply data and visual literacy skills to critically evaluate charts, maps, and statistical representations to detect deceptive or misleading data.",Navigate how generative AI transforms information literacy habits and learning environments alongside students.; Provide instructional guidance that centers human critical thinking and ethical information use.,Encourages ethical use of AI to support the research process while warning against using AI as a shortcut to replace writing and authentic thinking. Recommends questioning whether AI is necessary for a given task before use and utilizing institution-supported tools like PantherAI and Microsoft Copilot.,"Focuses on honest and ethical use, though specific citation style rules (e.g., APA/MLA) are not detailed in the provided excerpt.",Not explicitly detailed in the provided text excerpt.,1.0,"AI literacy is the ability to understand, use, and think critically about AI technologies and their impact on society, ethics, and everyday life.","AI literacy is framed as an extension of information, data, and visual literacy. It emphasizes developing ethical information behaviors, understanding the statistical/probabilistic nature of large language models, maintaining critical cognitive engagement without relying on AI as a learning shortcut, and evaluating broader societal and environmental impacts."
UArkansas,No,Tool-Use / Practical Productivity,Researchers,,"Construct and execute natural language queries across library discovery systems and specialized databases.; Interpret and evaluate AI-generated topic summaries and key takeaways as descriptive starting points rather than replacements for primary sources.; Understand the mechanics and limitations of database AI tools, including non-reproducibility of summaries, hallucination reduction via RAG, and lack of coverage for older print materials.; Properly capture, copy, and cite AI-generated summaries and source lists when permitted by course instructors.; Provide user feedback on AI tool performance using built-in rating mechanisms.",,"Users are repeatedly advised to check with their course instructors regarding permitted uses of AI-generated text before using or submitting it. For specific database tools like Mintel Leap, sharing content within the UARK campus community (students, faculty, and staff) is permitted, but commercial use is strictly prohibited.","Users are directed to consult the library's AI citation guide and FAQ for guidance on how to cite AI-generated text if its use is permitted by their instructor, taking into account that generated outputs are dynamic and not reproducible.",,0.8,,"AI literacy is characterized as practical competence in using AI-powered search, natural language querying, and automated summarization features embedded within academic databases (such as OneSearch, EBSCO, Mintel Leap, Ovid, SciFinder, and Web of Science), while understanding their underlying mechanics (e.g., RAG, LLMs), recognizing their ephemeral/non-reproducible nature, and adhering to course policies and citation standards."
UCDavis,No,Comprehensive / Balanced Hybrid,General Campus,"CLEAR Path Framework (Leo S. Lo, 2023), The ROBOT Test (Hervieux & Wheatley, 2020), Harvard Image-Based Prompt Framework","Apply structured prompt engineering principles (specificity, iteration, sequential prompting, role-play) to elicit precise AI outputs; Structure text-to-image generative prompts by specifying subject, style, details, and output format; Critically appraise AI outputs and tools for limitations, errors, and systematic algorithmic bias using structured evaluation criteria; Evaluate copyright and fair use implications regarding AI training data and human-authorship requirements for generated works; Practice proper citation, transparency, and attribution when using generative AI tools in coursework and research; Explore AI tools appropriately for academic use cases such as literature synthesis, digital accessibility (transcription, summaries), and coding assistance","Develop transparent expectations, course policies, and syllabus statements regarding generative AI usage; Intentionally incorporate generative AI into course materials, instructional strategies, and assignment redesign; Collaborate with teaching support centers (such as the Center for Educational Effectiveness) to explore teaching strategies and construct course policies; Support student learning while equipping students with critical literacy and ethical awareness toward emerging AI technologies","Students must always check with instructors regarding specific course policies before using generative AI for coursework. In publishing, AI cannot be listed as an author; academic publishers generally do not accept AI-authored manuscripts, though using AI for manuscript improvement (style, generating reference lists) or specific content (images/graphs) may be permissible if transparently disclosed and marked. In research, Fair Use can justify non-generative text and data mining (TDM) and training, subject to contractual terms and conditions of licensed library materials.","Users must practice proper citation and remain transparent about AI use to distinguish original student/researcher contributions from AI-generated content. The guide links to standard styles including APA, MLA, and Chicago.","Instructors are encouraged to establish clear and transparent syllabus statements and course policies regarding permitted generative AI use, referencing model policies such as UC Davis University Writing Program syllabus language and the Sentient Syllabus Project.",0.6,,"AI literacy is characterized as the ability to intentionally and critically engage with generative AI technologies, combining practical prompt engineering skills with ethical evaluation of algorithmic bias, reliability, copyright implications, academic integrity, and appropriate scholarly citation."
UCIrvine,No,Critical & Ethical Evaluation,General Campus,"ACRL Framework for Information Literacy for Higher Education, Critical Information Literacy, Lateral Reading","Evaluate the credibility and authority of AI-generated content using lateral reading and external verification; Identify hallucinations, misinformation, and fabricated bibliographic citations produced by LLMs; Analyze systemic, racial, gender, and ableist biases embedded in training data and AI outputs; Understand the hidden human labor ('data workers') and environmental resources required to build and run Gen-AI models; Properly cite, acknowledge, and document AI tool usage across different citation styles (APA, Chicago, MLA, IEEE); Adhere to university academic integrity policies and instructor-specific course standards regarding AI use",Establish and communicate clear course standards regarding acceptable and prohibited AI usage; Incorporate novel teaching approaches and collaborative learning with AI while maintaining human oversight; Monitor emerging research on the cognitive impacts and learning efficacy of student chatbot usage,"AI use must comply with the UCI Policy on Academic Integrity and individual instructor standards. Students must not engage in any activity attempting to receive a grade by means other than honest effort, and must verify course-specific permissions before using AI tools like ZotGPT.","Students permitted to use AI must acknowledge their use by documenting the tool, model, prompts used, and how outputs were adapted. Detailed style guidance is provided: APA (2025 formats with direct chat URLs), Chicago Style (credited in text or notes with prompt details, not bibliography), IEEE (treated as private communication), and MLA (standard core elements template with prompt description, avoiding naming AI as author).","Highlights that each course and instructor maintains distinct standards and policies regarding AI usage, requiring students to clarify expectations directly with faculty.",0.4,,"AI literacy is framed through the lens of Critical Information Literacy and the ACRL Framework, emphasizing the critique of sociopolitical dimensions, systemic and algorithmic biases, labor exploitation ('digital neocolonialism'), environmental costs, black-box mechanics, and the rigorous fact-checking of AI hallucinations using lateral reading."
UCMerced,No,Comprehensive / Balanced Hybrid,General Campus,"AI4K12 Initiative Guidelines, MIT RAISE (Responsible AI for Social Empowerment and Education) Day of AI Curriculum, The Ethical Framework for AI in Education","Develop effective prompt engineering strategies for large language models such as Copilot and ChatGPT; Evaluate and compare features, limitations, and underlying data sources of various AI tools across writing, research, image generation, and video creation; Utilize AI tools appropriately across research stages (generating ideas, locating information, summarizing texts, analyzing data, and managing citations); Recognize the inherent biases, weaknesses, and ethical considerations (copyright, intellectual property, paywall limitations) of AI tools in research and evidence synthesis; Correctly cite and disclose AI-generated content according to APA, MLA, Chicago, and IEEE citation styles and publication guidelines; Understand campus-approved data protection levels (P2, P4) and data security parameters for institutional AI tools","Leverage generative AI tools to streamline administrative tasks, develop lesson plans, and personalize instruction; Adapt assignment design, assessment strategies, and classroom practices to maintain academic integrity in the GenAI era; Engage students in hands-on activities, critical thinking, and ethical discussions regarding artificial intelligence; Support ethical and responsible classroom integration using curated prompt libraries and educational frameworks","Permitted use depends on tool authorization and publisher/institutional policies. The guide outlines campus data protection approvals (e.g., Microsoft Copilot and ChatGPT EDU approved for P4 data; Zoom AI Companion and Canva Magic Studio approved for P2 data). For scholarly publishing, major academic publishers (ACM, Elsevier, Emerald, IEEE, Nature, Oxford Academic, PLOS, Taylor & Francis) explicitly prohibit AI tools from being listed as co-authors, requiring AI contributions to be strictly confined to assistance/readability and fully disclosed.","Detailed rules and templates are provided for major styles: APA format (Author, Date, Title with version, [Large language model], Source URL, and in-text citations); MLA format (prompt text, tool name, version, company, date, URL); Chicago style (footnote citation of generated text); and IEEE/publisher guidelines (mandatory disclosure in an acknowledgments or methods section specifying the AI tool and extent of use).","While the guide does not provide explicit syllabus policy templates, it directs instructors to pedagogical literature (such as 'Teaching with AI' and 'The Opposite of Cheating') that offers guidance on establishing expectations, reframing integrity conversations, and restructuring assessments.",0.67,,"AI literacy is approached as a multi-faceted competency encompassing functional proficiency (selecting appropriate tools, prompt engineering, comparative feature evaluation), scholarly workflow integration (literature discovery, data analysis, systematic reviews), compliance with citation standards and publisher policies, data privacy awareness (data protection tiers), and critical awareness of environmental and ethical impacts."
UCSB,Yes,Comprehensive / Balanced Hybrid,General Campus,"Three-Step AI Literacy Framework (Understand, Use and Apply, Analyze and Evaluate), UCSB AI Teaching Series (AI 101, AI 102, AI 103)","Grasp foundational concepts of how AI works, including machine learning, natural language processing, inputs, and outputs.; Interact with generative AI systems (e.g., ChatGPT) and experiment with prompt engineering to iterate and improve outputs.; Identify, validate, and mitigate AI-generated issues, including hallucinations and algorithmic biases.; Critically evaluate ethical, societal, environmental, and labor implications of AI tools.; Utilize specialized AI tools for literature reviews, paper discovery, and citation network mapping (e.g., Semantic Scholar, Elicit, Inciteful, Research Rabbit).; Employ AI tools responsibly for coding assistance, debugging, and code generation while maintaining the ability to read, understand, and explain the code.; Properly cite and attribute AI-generated content in academic work.","Engage with the 3-part instructional series (AI 101, AI 102, AI 103) on generative AI within the UCSB teaching context.; Incorporate syllabus statements and clear guidelines regarding allowed and prohibited AI uses in courses.; Design coursework that fosters critical thinking and authentic engagement rather than passive reliance on AI-generated outputs.; Help students recognize how AI tools are built, their limitations, and their ethical implications.","AI use is acceptable for brainstorming, ideation, background inquiry, skill practice, and literature discovery as an assistant rather than a replacement for human critical thinking and original writing. Using AI to write on behalf of a student is considered plagiarism. Researchers must adhere to publisher and funding agency policies regarding GenAI restrictions. UCSB policy defines academic dishonesty to include 'utilizing artificial-intelligence programs without prior approval from instructor.'","Whenever text, data, or information produced by AI is used, it must be explicitly cited as a source. The guide points to dedicated resources including the UCSB Office of Teaching and Learning 'How to Cite AI' document, UCSD citation guides across styles, and UCSB STEM citation resources.","Students are instructed to check course syllabi for specific instructor policies before using AI tools in assignments, and to consult instructors directly if policies are absent or ambiguous.",0.8,"The practice of learning how to identify, use, and evaluate AI tools and products is building a set of literacies similar to when a person learns to read, write, and think critically.","AI literacy is framed through the lens of Library and Information Science as a progressive, three-stage developmental capability (Understand AI, Use and Apply AI, Analyze and Evaluate AI) grounded in library values of open access, intellectual integrity, privacy, and social/environmental responsibility."
UCSD,No,Comprehensive / Balanced Hybrid,General Campus,"Academic Integrity Decision Heuristic (Values, Standards, Exposure Tests), PAIR Framework (Problem formulation, AI tool selection, Interaction, Reflection), PAIRR (Peer & AI Review + Reflection), A Framework for AI Literacy (EDUCAUSE), RTF (Role/Task/Format) & TAG (Task/Action/Goal), The Artificial Intelligence Disclosure (AID) Framework","Craft effective prompts using structured prompting frameworks (e.g., RTF, TAG).; Fact-check AI-generated content and verify sources, citations, and claims to detect hallucinations and bias.; Evaluate and select appropriate AI tools (including multimodal and linked research data platforms) for specific academic tasks.; Apply self-assessment tests (Values, Standards, Exposure) to ensure AI tool usage adheres to academic integrity policies and learning assessments.; Protect privacy by avoiding the inclusion of Personally Identifiable Information (PII) in AI prompts.","Design assessments emphasizing critical thinking, creativity, and problem-solving to create AI-proof and AI-integrated learning experiences.; Leverage generative AI to streamline course preparation, lesson planning, assignment design, and rubric development.; Implement pedagogical and curricular frameworks (such as PAIR and PAIRR) to engage students in critical reflection and peer-AI review.; Establish clear rules, syllabus expectations, and transparency regarding acceptable and prohibited AI usage.","AI use must not perform the core capability being assessed (e.g., using a spell checker is acceptable if spelling is not assessed, but ChatGPT/Google Translate is prohibited when language skills are assessed). Using tools that are prohibited or not explicitly allowed may constitute cheating. PII must not be input into prompts.","Users must verify all AI-generated references, as chatbots frequently invent citations that do not exist. Tools providing verified links are recommended, and formal frameworks such as the Artificial Intelligence Disclosure (AID) Framework are highlighted for scholarly transparency.","Instructors are encouraged to provide clear policies and boundaries for AI usage. Students are instructed that if use is not explicitly permitted or if any doubt exists, they must consult and ask their instructor before using GenAI for academic work.",1.0,,"AI literacy is characterized as the combination of practical tool selection, structured prompt engineering, rigorous fact-checking and hallucination detection, and ethical alignment with academic integrity standards and course-level learning objectives."
USC,Yes,Comprehensive / Balanced Hybrid,General Campus,"Leo S. Lo AI Literacy Guide / Framework, Digital Promise AI Literacy Framework, Educause AI Literacy in Teaching and Learning (ALTL) Framework, Digital Education Council AI Literacy Framework, Six Assessment Redesign Pivotal Strategies (SARPS) & AI Assessment Integration Framework, ACRL Framework for Information Literacy (Critique & AI Adaptation), UNESCO AI Competency Frameworks","Understand foundational AI concepts such as machine learning, neural networks, narrow AI, and general AI.; Explain how to use AI tools to find articles for literature reviews and use a 'seed article' to retrieve relevant citations in AI literature mapping tools.; State the capabilities and drawbacks of AI literature mapping and search tools.; Critically assess and evaluate AI system outputs, including limitations, potential biases, hallucinations, and misinformation.; Apply AI tools and systems ethically, safely, and responsibly while recognizing privacy, security, and intellectual property risks.","Integrate AI effectively into teaching and learning environments to enhance educational experiences and personalize learning.; Shift the pedagogical paradigm from focusing on learning as an output to learning as a process.; Redesign assignments and assessments using structured frameworks (such as SARPS) to encourage learner-centric evaluation in the GenAI era.; Leverage AI tools for administrative tasks, lesson planning, grading assistance, and feedback to free time for high-value humanistic responsibilities.; Address academic integrity, anti-bias measures, privacy safeguards, and policy formulation in academic institutions.","The guide notes that institutional approaches vary, with some banning GenAI as a threat to academic integrity while others embrace it as an innovative practice. Acceptable uses include automating repetitive administrative tasks, adaptive personalized learning, literature mapping, and interactive lesson design, while cautioning against over-reliance, uncritical acceptance of outputs, plagiarism, copyright infringement, and privacy violations.","Refers users to specialized USC Libraries research guides (such as 'Using Generative AI in Research') for guidance on proper usage, attribution, and ethical practices in academic papers and research.","Highlights the necessity for well-crafted AI educational policies, institutional roadmaps, and policy formulation blueprints for higher education institutions.",1.0,"AI literacy goes beyond understanding AI tools; it equips individuals to critically evaluate, ethically navigate, and practically apply AI in real-world scenarios; [it is] is the ability to understand, use, and think critically about AI technologies and their impact on society, ethics, and everyday life.","AI literacy is characterized as a multidimensional, human-centered competency encompassing technical understanding, critical evaluation, ethical awareness, and pedagogical application. It moves beyond mere functional tool proficiency to emphasize human skills (creativity, critical thinking, emotional intelligence) and continuous reflection in an AI-embedded educational landscape."
